Animal_ID,Group_ID,Date,Dry_Days,Days_in_Milk,Is_Milked,Lactation_Num,Yield (gr),Conductivity,Fat (%),Protein (%),Lactose (%),Blood (%),SCC (*1000/ml),Activity (steps/hour),RestTime (minutes),RestBout (#),ProdRate (gr/hour),RestRatio (%),RestRestlessness,RestPerBout (minutes),ActivityDeviation (%)
9487,5,2018-04-07,0,61,1,2,61238,97.0,2.47,2.91,3.67,0.13,92.044,199,580,10,2551,40,40,58,20.0
9978,8,2018-04-07,0,96,1,1,47188,97.0,2.53,2.86,2.39,0.02,8609.936,168,625,7,1966,43,28,89,5.0
9454,5,2018-04-07,0,71,1,2,47502,89.0,2.6,2.05,3.77,0.09,648.634,229,-1,-1,1979,-1,-1,-1,13.0
8007,12,2018-04-07,0,77,1,4,45528,93.0,3.01,3.08,3.85,0.11,49.659,134,528,6,1897,34,30,88,7.0
8838,23,2018-04-07,0,104,1,3,45523,98.0,2.93,3.14,2.57,0.11,17021.582,163,709,7,1896,49,25,101,23.0
9083,23,2018-04-07,0,166,1,2,42918,91.0,3.61,2.93,2.84,0.1,4315.193,184,-1,-1,1788,-1,-1,-1,8.0
4371,5,2018-04-07,0,63,1,2,35711,103.0,3.34,3.08,2.37,0.11,13091.822,266,322,4,1487,22,88,80,16.0
8781,22,2018-04-07,0,107,1,3,18403,93.0,3.97,3.23,2.92,0.09,3388.4390000000003,152,649,20,766,45,25,32,12.0
3873,22,2018-04-07,0,70,1,3,53616,91.0,2.68,3.42,2.58,0.09,1069.0539999999999,144,-1,-1,2234,-1,-1,-1,0.0
8796,23,2018-04-07,0,115,1,3,44700,98.0,3.08,2.97,3.42,0.16,166.72400000000002,180,763,7,1862,58,26,109,-11.0
7794,22,2018-04-07,0,60,1,4,45284,103.0,2.41,3.43,2.55,0.13,1116.862,235,796,6,1886,63,30,133,20.0
98,23,2018-04-08,0,92,1,2,39080,104.0,3.5,3.19,4.52,0.04,1006.931,164,904,17,1628,63,19,53,-8.0
11124,8,2018-04-08,0,80,1,1,29735,93.0,3.66,3.08,4.68,0.05,1088.93,860,196,8,1238,14,394,24,406.0
4353,23,2018-04-08,0,111,1,2,34776,95.0,3.79,2.96,4.65,0.01,6668.065,126,887,14,1449,62,16,63,9.0
9454,5,2018-04-08,0,72,1,2,48747,90.0,3.61,2.98,4.58,0.0,1766.0379999999998,240,-1,-1,2031,-1,-1,-1,9.0
11259,2,2018-04-08,0,52,1,1,31555,85.0,4.01,3.32,4.65,0.01,38106.568999999996,262,487,11,1314,34,56,44,10.0
9395,5,2018-04-08,0,144,1,1,38162,95.0,3.53,3.18,4.53,0.01,1857.8039999999999,165,622,9,1590,43,29,69,0.0
9372,5,2018-04-08,0,68,1,2,51239,87.0,2.47,2.31,2.27,0.0,12705.743,163,469,13,1460,33,39,36,14.0
8781,22,2018-04-08,0,108,1,3,14412,99.0,3.8,3.63,4.56,0.03,124.165,139,607,13,600,42,26,47,4.0
8731,23,2018-04-08,0,190,1,2,44334,102.0,3.64,2.9,4.59,0.0,2890.679,122,820,10,1847,57,16,82,-7.0
9494,5,2018-04-08,0,65,1,2,46839,93.0,3.84,2.78,4.53,0.02,95279.636,217,411,4,1951,29,55,103,29.0
9487,5,2018-04-08,0,62,1,2,53265,98.0,2.78,2.85,4.48,0.0,3689.775,219,622,13,2219,45,34,48,13.0
8540,22,2018-04-08,0,164,1,3,36902,106.0,3.59,2.79,4.48,0.03,1011.579,245,661,7,1537,46,31,94,86.0
8796,23,2018-04-08,0,116,1,3,43223,98.0,3.38,3.14,4.65,0.05,8550.67,186,947,8,1800,61,20,118,-8.0
6268,5,2018-04-09,0,72,1,2,56352,105.0,2.77,2.89,4.45,0.02,39719.152,174,535,7,2348,41,30,76,26.0
8111,22,2018-04-09,0,157,1,4,25791,86.0,4.35,3.39,4.56,0.03,260.015,176,-1,-1,1074,-1,-1,-1,87.0
8781,22,2018-04-09,0,109,1,3,25590,96.0,4.05,3.45,4.58,0.03,3191.539,127,688,16,1066,48,20,43,-7.0
11139,6,2018-04-09,0,79,1,1,39192,89.0,2.95,2.99,4.65,0.01,12.823,179,682,10,1633,47,31,68,-1.0
4000,22,2018-04-09,0,63,1,2,43548,95.0,3.75,3.06,4.63,0.0,801.677,273,745,14,1814,52,28,53,162.0
8796,23,2018-04-09,0,117,1,3,47535,101.0,3.71,3.09,4.6,0.02,96605.117,177,769,6,1980,53,26,128,-3.0
8655,23,2018-04-09,0,121,1,3,41475,92.0,3.85,3.55,4.44,0.06,214289.22100000002,163,541,15,1728,38,34,36,7.0
8479,12,2018-04-09,0,93,1,3,49206,93.0,3.89,2.88,4.61,0.03,2177.708,152,835,12,2050,58,20,70,0.0
9372,5,2018-04-09,0,69,1,2,53200,90.0,3.51,2.73,4.68,0.0,9682.779,161,561,10,2216,41,29,56,16.0
9083,23,2018-04-09,0,168,1,2,42817,91.0,4.43,3.1,4.84,0.0,1918.668,164,637,9,1784,44,29,71,11.0
8731,23,2018-04-09,0,191,1,2,45170,103.0,3.53,2.96,4.56,0.02,9225.716999999999,133,845,14,1882,59,18,60,-1.0
9494,5,2018-04-09,0,66,1,2,50202,97.0,3.37,2.76,4.51,0.07,13273.948999999999,212,-1,-1,2091,-1,-1,-1,20.0
9454,5,2018-04-09,0,73,1,2,47546,91.0,3.41,3.01,4.56,0.01,1706.0810000000001,219,633,9,1981,44,37,70,13.0
11259,2,2018-04-10,0,54,1,1,31195,86.0,4.09,3.31,4.6,0.03,163.681,222,601,10,1299,42,41,60,5.0
8111,22,2018-04-10,0,158,1,4,23313,87.0,4.31,3.42,4.6,0.03,3326.594,126,907,12,971,58,17,76,15.0
8540,22,2018-04-10,0,166,1,3,37684,103.0,3.41,2.75,4.49,0.04,23173.933999999997,184,502,7,1570,35,40,72,48.0
3873,22,2018-04-10,0,73,1,3,55056,97.0,3.1,2.84,4.59,0.02,153461.652,190,-1,-1,2294,-1,-1,-1,44.0
4371,5,2018-04-10,0,66,1,2,34561,104.0,4.09,2.9,4.52,0.46,23388.37,293,318,7,1440,22,95,45,19.0
8799,23,2018-04-10,0,58,1,3,46848,93.0,3.49,3.28,4.59,0.06,5296.634,152,571,13,1952,40,31,44,12.0
7714,22,2018-04-10,0,193,1,4,48551,93.0,4.09,3.35,4.67,0.12,533.335,143,-1,-1,2022,-1,-1,-1,36.0
8796,23,2018-04-10,0,118,1,3,41553,97.0,3.48,3.19,4.68,0.02,79.25,191,757,7,1731,53,28,108,7.0
98,23,2018-04-10,0,94,1,2,35933,100.0,3.32,3.28,4.52,0.04,9817.481,187,856,17,1497,60,22,50,3.0
9576,5,2018-04-10,0,73,1,2,37219,91.0,3.75,3.26,4.45,0.04,762.078,162,-1,-1,1550,-1,-1,-1,11.0
6229,23,2018-04-10,0,58,1,2,44194,92.0,3.96,3.31,4.51,0.14,20511.612,149,666,10,1841,46,26,67,3.0
8731,23,2018-04-10,0,192,1,2,44119,105.0,3.56,2.98,4.61,0.0,4017.908,138,829,12,1838,58,18,69,-5.0
11119,6,2018-04-10,0,83,1,1,38273,96.0,3.25,3.02,4.61,0.01,247.74200000000002,240,592,10,1594,41,40,59,61.0
835,23,2018-04-10,0,195,1,3,43819,108.0,4.14,3.07,4.49,0.04,1086.425,120,817,12,1825,57,16,68,5.0
4235,5,2018-04-10,0,57,1,3,53090,89.0,3.1,2.84,4.52,0.01,81283.023,135,700,10,2212,51,20,70,-2.0
7216,22,2018-04-10,0,129,1,5,47492,123.0,2.92,2.99,4.11,0.09,526016.924,131,850,17,1978,57,16,50,19.0
8773,23,2018-04-10,0,107,1,3,47349,92.0,3.59,2.79,4.51,0.02,897.428,267,583,9,1972,41,40,65,50.0
6256,5,2018-04-10,0,62,1,2,50411,92.0,3.53,2.98,4.5,0.05,7144.964,132,634,10,2100,44,26,63,18.0
3873,22,2018-04-11,0,74,1,3,52361,93.0,3.18,2.9,4.61,0.0,755.092,148,-1,-1,2181,-1,-1,-1,8.0
8669,23,2018-04-11,0,126,1,3,40412,100.0,4.32,2.78,4.56,0.0,12882.499,188,-1,-1,1683,-1,-1,-1,14.0
8540,22,2018-04-11,0,167,1,3,38600,103.0,3.19,3.01,3.76,0.02,3819.44,202,558,6,1121,39,34,93,29.0
9857,12,2018-04-11,0,159,1,1,36244,93.0,4.42,2.84,4.6,0.01,903.6489999999999,169,694,16,1510,48,30,43,7.0
9367,5,2018-04-11,0,57,1,2,69682,94.0,2.58,2.95,3.6,0.22,245.47,270,472,8,2041,33,54,59,36.0
835,23,2018-04-11,0,196,1,3,42300,103.0,3.28,2.95,4.51,0.04,32508.736,132,639,12,1762,49,21,53,7.0
11139,6,2018-04-11,0,81,1,1,42430,88.0,3.04,3.03,4.63,0.0,114.025,185,-1,-1,1767,-1,-1,-1,2.0
4371,5,2018-04-11,0,67,1,2,37046,114.0,4.93,2.88,4.45,0.37,125892.651,723,253,6,1543,17,223,42,189.0
2559,5,2018-04-11,0,60,1,3,54363,93.0,3.02,3.01,4.43,0.07,20276.834,194,484,12,2265,34,43,40,7.0
9083,23,2018-04-11,0,170,1,2,40115,99.0,3.68,3.28,4.66,0.01,721.107,742,396,5,1671,28,135,79,329.0
11124,8,2018-04-11,0,83,1,1,34324,81.0,3.75,3.14,4.67,0.0,4764.309,185,663,17,1430,46,33,39,4.0
11177,8,2018-04-11,0,90,1,1,36432,92.0,3.43,3.03,4.63,0.0,669.8839999999999,312,607,14,1518,42,49,43,23.0
8479,12,2018-04-11,0,95,1,3,44972,95.0,3.78,2.8,4.56,0.03,11508.0,166,736,12,1873,51,24,61,4.0
8796,23,2018-04-11,0,119,1,3,44605,98.0,3.83,3.18,4.58,0.03,69.183,159,718,6,1858,50,29,120,-3.0
9155,23,2018-04-11,0,217,1,2,32911,105.0,4.0,3.05,4.49,0.03,169.824,629,309,6,1371,21,160,52,308.0
11176,8,2018-04-11,0,127,1,1,32084,83.0,3.58,3.28,4.74,0.0,0.8390000000000001,273,703,10,1336,49,40,70,32.0
8106,22,2018-04-11,0,107,1,4,34971,105.0,3.23,3.45,4.49,0.01,8016.776999999999,158,913,11,1457,63,20,83,21.0
6256,5,2018-04-11,0,63,1,2,50669,91.0,3.55,2.98,4.55,0.01,2773.3190000000004,160,-1,-1,2111,-1,-1,-1,15.0
9599,5,2018-04-11,0,67,1,2,42549,99.0,3.21,2.71,4.53,0.0,18030.179,609,162,8,1772,12,302,20,125.0
98,23,2018-04-11,0,95,1,2,37929,105.0,3.43,3.34,4.46,0.04,22181.974,169,721,16,1580,51,26,45,-6.0
6256,5,2018-04-12,0,64,1,2,50867,89.0,3.75,2.98,4.51,0.02,990.831,169,555,6,2119,42,29,92,24.0
9454,5,2018-04-12,0,76,1,2,45077,90.0,3.5,3.05,4.59,0.02,588.8430000000001,259,-1,-1,1878,-1,-1,-1,19.0
11259,6,2018-04-12,0,56,1,1,31183,81.0,4.38,3.24,4.51,0.03,5559.041,468,621,12,1299,43,44,52,116.0
8973,5,2018-04-12,0,60,1,3,56193,88.0,4.05,3.11,4.67,0.79,1475705.418,216,424,4,2341,31,50,106,22.0
11124,8,2018-04-12,0,84,1,1,28606,81.0,3.63,3.09,4.72,0.0,1099.005,203,541,19,1191,39,45,28,11.0
8655,23,2018-04-12,0,124,1,3,44374,93.0,3.8,3.49,4.42,0.06,10990.055,185,529,10,1848,37,36,53,16.0
8479,12,2018-04-12,0,96,1,3,50801,95.0,4.08,2.89,4.52,0.05,2167.703,183,727,14,2116,51,24,52,30.0
8669,23,2018-04-12,0,127,1,3,41551,98.0,4.32,2.87,4.63,0.0,23550.504,274,-1,-1,1731,-1,-1,-1,51.0
8629,22,2018-04-12,0,172,1,3,42437,117.0,3.28,2.91,4.41,0.03,30690.218999999997,124,727,8,1768,51,19,91,6.0
9487,5,2018-04-12,0,66,1,2,58910,93.0,3.01,2.95,4.46,0.01,555.904,180,-1,-1,2454,-1,-1,-1,5.0
866,6,2018-04-12,0,172,1,1,33553,95.0,4.1,2.93,4.62,0.0,5508.079000000001,175,-1,-1,1398,-1,-1,-1,15.0
8731,23,2018-04-12,0,194,1,2,43406,106.0,3.7,2.97,4.57,0.0,9931.154,158,814,11,1808,57,20,74,22.0
9857,12,2018-04-12,0,160,1,1,36213,95.0,4.49,2.84,4.58,0.01,415.91,168,823,11,1508,57,23,75,7.0
8828,23,2018-04-12,0,59,1,3,45220,112.0,2.87,2.8,4.52,0.02,11117.317,228,286,6,1884,20,86,48,41.0
11195,8,2018-04-12,0,49,1,1,42818,97.0,3.24,3.29,4.18,0.05,619.44,215,399,14,1784,28,59,28,18.0
9877,6,2018-04-12,0,78,1,1,43055,95.0,2.9,2.92,4.63,0.0,67297.67599999999,206,625,13,1793,43,32,48,17.0
8111,22,2018-04-12,0,160,1,4,38420,86.0,4.32,3.4,4.6,0.04,11220.188999999998,134,844,9,1600,59,18,94,7.0
8799,23,2018-04-12,0,60,1,3,52671,95.0,3.51,3.31,4.5,0.06,13.489,183,499,10,2194,35,37,50,26.0
9083,23,2018-04-12,0,171,1,2,40423,86.0,5.15,3.22,4.68,0.01,2460.366,576,352,14,1684,26,67,25,372.0
4235,5,2018-04-12,0,59,1,3,53680,90.0,3.09,2.85,4.47,0.02,23173.933999999997,194,-1,-1,2236,-1,-1,-1,20.0
11177,8,2018-04-13,0,92,1,1,36668,93.0,3.47,3.01,4.64,0.03,7533.553000000001,262,697,18,1527,48,38,39,-1.0
4371,5,2018-04-13,0,69,1,2,32891,101.0,3.79,2.89,4.54,0.25,516.4159999999999,267,-1,-1,1370,-1,-1,-1,15.0
9576,5,2018-04-13,0,76,1,2,39759,91.0,3.4,3.26,4.54,0.04,15559.653,132,-1,-1,1656,-1,-1,-1,23.0
8106,22,2018-04-13,0,109,1,4,53434,89.0,2.8,3.5,3.87,0.01,751.622,137,-1,-1,2226,-1,-1,-1,5.0
6229,23,2018-04-13,0,61,1,2,47242,95.0,3.52,3.34,4.56,0.03,3318.9429999999998,144,742,11,1968,52,22,67,-1.0
9599,5,2018-04-13,0,69,1,2,49111,98.0,3.76,2.69,4.55,0.0,190985.38600000003,288,-1,-1,2046,-1,-1,-1,6.0
8796,23,2018-04-13,0,121,1,3,43605,95.0,3.76,3.21,4.6,0.02,9015.709,203,799,6,1816,56,25,133,28.0
8773,23,2018-04-13,0,110,1,3,54479,97.0,3.72,2.77,4.5,0.04,2606.152,220,787,14,2269,50,31,56,-15.0
4353,23,2018-04-13,0,116,1,2,33493,96.0,3.7,3.07,4.6,0.02,18749.933999999997,128,856,13,1395,59,15,66,3.0
9454,5,2018-04-13,0,77,1,2,46716,94.0,3.73,3.1,4.57,0.02,8649.675,255,669,9,1946,46,37,74,10.0
9793,6,2018-04-13,0,135,1,1,29518,91.0,3.81,3.17,4.64,0.0,199.067,191,685,12,1229,48,29,57,14.0
4235,5,2018-04-13,0,60,1,3,50781,89.0,2.88,2.87,4.39,0.04,23713.737,176,-1,-1,2115,-1,-1,-1,15.0
866,6,2018-04-13,0,173,1,1,29841,97.0,3.77,2.94,4.62,0.04,7328.241,180,-1,-1,1243,-1,-1,-1,-8.0
9494,5,2018-04-13,0,70,1,2,50751,93.0,3.57,2.76,4.58,0.05,37325.018,192,-1,-1,2114,-1,-1,-1,9.0
9083,23,2018-04-13,0,172,1,2,40265,88.0,4.74,3.14,4.68,0.02,1009.253,145,916,8,1677,61,17,114,-17.0
11176,8,2018-04-13,0,129,1,1,33231,82.0,3.3,3.26,4.66,0.0,2409.905,242,763,11,1384,53,33,69,-3.0
6268,5,2018-04-13,0,76,1,2,57364,102.0,2.72,2.82,4.43,0.03,7030.725,149,685,8,2390,48,24,86,16.0
8244,22,2018-04-13,0,220,1,3,35638,104.0,3.75,3.6,4.65,0.02,847.227,618,442,7,1484,32,96,63,459.0
9877,6,2018-04-13,0,79,1,1,42678,94.0,2.97,2.93,4.61,0.0,9862.793,165,-1,-1,1778,-1,-1,-1,8.0
8540,22,2018-04-13,0,169,1,3,40000,104.0,3.56,2.8,4.54,0.02,12852.872,191,748,8,1666,52,23,94,33.0
8799,23,2018-04-14,0,62,1,3,48268,94.0,3.35,3.31,4.53,0.06,1273.503,167,553,12,2011,42,32,46,14.0
9793,6,2018-04-14,0,136,1,1,33108,92.0,3.67,3.19,4.58,0.02,13458.608999999999,224,685,17,1379,48,30,40,36.0
9857,12,2018-04-14,0,162,1,1,38322,92.0,4.24,2.69,4.55,0.02,87700.049,176,-1,-1,1596,-1,-1,-1,12.0
11195,8,2018-04-14,0,51,1,1,45790,98.0,2.82,3.42,4.45,0.05,7227.701,180,465,18,1907,32,46,26,2.0
6229,23,2018-04-14,0,62,1,2,48441,96.0,3.77,3.36,4.52,0.03,5780.960999999999,144,781,11,2018,54,21,71,-1.0
11259,6,2018-04-14,0,58,1,1,31130,86.0,3.94,3.33,4.56,0.03,9527.963,219,592,13,1297,41,42,46,-4.0
835,23,2018-04-14,0,199,1,3,43986,98.0,4.15,3.13,4.55,0.03,460.256,108,853,15,1832,59,13,57,-13.0
9155,23,2018-04-14,0,220,1,2,42904,103.0,3.94,2.98,4.51,0.05,75335.531,174,709,11,1787,49,25,64,13.0
8731,23,2018-04-14,0,196,1,2,38140,111.0,3.4,3.02,4.59,0.05,5116.819,160,697,13,1589,48,23,54,15.0
11087,8,2018-04-14,0,86,1,1,43653,94.0,3.56,2.94,4.6,0.02,3243.397,181,649,8,1818,45,30,81,-7.0
7216,22,2018-04-14,0,133,1,5,44627,125.0,2.98,3.18,4.09,0.11,2951.2070000000003,116,729,11,1859,51,19,66,5.0
6256,5,2018-04-14,0,66,1,2,50137,90.0,3.4,2.95,4.5,0.02,27478.949,146,-1,-1,2089,-1,-1,-1,-1.0
8106,22,2018-04-14,0,110,1,4,54408,91.0,2.99,3.37,4.06,0.01,855.067,180,844,9,1497,59,23,94,29.0
7714,22,2018-04-14,0,197,1,4,49907,93.0,4.02,3.34,4.63,0.02,258.226,93,-1,-1,2079,-1,-1,-1,-21.0
9599,5,2018-04-14,0,70,1,2,48409,95.0,3.58,2.7,4.55,0.02,144211.666,244,601,10,2017,42,44,60,-2.0
11281,6,2018-04-14,0,76,1,1,22648,94.0,2.61,3.39,4.48,0.05,381.944,175,654,18,943,45,27,36,22.0
8540,22,2018-04-14,0,170,1,3,39965,100.0,3.42,2.76,4.35,0.01,583.444,220,498,5,1665,35,45,100,27.0
8973,5,2018-04-14,0,62,1,3,52547,88.0,4.01,3.08,4.69,0.03,778.0360000000001,228,397,7,2189,28,59,57,10.0
11124,8,2018-04-14,0,86,1,1,34874,84.0,3.31,2.95,4.15,0.0,1706.0810000000001,195,697,18,1453,48,32,39,1.0
11336,12,2018-04-14,0,59,1,1,31984,90.0,3.99,3.22,4.49,0.05,1592.2089999999998,171,658,18,1332,47,31,37,17.0
